Year,Main_Genre,Total_Gross
1996,Horror,$103.05M
1996,Drama,$364.7M
1996,Crime,$242.92M
1996,Comedy,$1233.92M
1996,Biography,$117.14M
1996,Animation,$282.6M
1996,Adventure,$259.89M
1996,Action,$1716.77M
1995,Mystery,$57.14M
1995,Drama,$439.95M
1995,Crime,$245.98M
1995,Comedy,$943.81M
1995,Biography,$176.5M
1995,Animation,$380.62M
1995,Adventure,$477.46M
1995,Action,$1436.93M
1994,Fantasy,$18.09M
1994,Drama,$816.57M
1994,Crime,$205.13M
1994,Comedy,$1019.5M
1994,Biography,$55.61M
1994,Animation,$432.55M
1994,Adventure,$63.49M
1994,Action,$1164.97M
1993,Drama,$616.14M
1993,Crime,$294.46M
1993,Comedy,$1060.13M
1993,Biography,$269.37M
1993,Animation,$80.7M
1993,Adventure,$245.05M
1993,Action,$1310.5M
1992,Drama,$779.1M
1992,Crime,$78.29M
1992,Comedy,$1001.09M
1992,Biography,$57.66M
1992,Animation,$242.0M
1992,Adventure,$319.77M
1992,Action,$881.47M
1991,Drama,$310.97M
1991,Crime,$305.36M
1991,Comedy,$835.91M
1991,Biography,$84.29M
1991,Animation,$241.59M
1991,Adventure,$203.05M
1991,Action,$915.6M
1990,Mystery,$86.3M
1990,Drama,$491.89M
1990,Crime,$87.75M
1990,Comedy,$872.98M
1990,Biography,$98.94M
1990,Animation,$46.05M
1990,Adventure,$313.66M
1990,Action,$1251.13M
1989,Drama,$133.03M
1989,Crime,$71.02M
1989,Comedy,$1137.3M
1989,Biography,$121.73M
1989,Animation,$138.64M
1989,Adventure,$374.39M
1989,Action,$1072.33M
1988,Mystery,$0.0M
1988,Drama,$252.26M
1988,Crime,$125.6M
1988,Comedy,$1041.71M
1988,Biography,$24.72M
1988,Animation,$280.35M
1988,Adventure,$11.58M
1988,Action,$550.58M
1987,Horror,$17.19M
1987,Drama,$252.29M
1987,Crime,$120.12M
1987,Comedy,$904.47M
1987,Biography,$222.12M
1987,Animation,$0.0M
1987,Adventure,$72.49M
1987,Action,$599.43M
1986,Drama,$316.79M
1986,Crime,$17.17M
1986,Comedy,$582.31M
1986,Biography,$3.44M
1986,Animation,$91.93M
1986,Adventure,$102.37M
1986,Action,$856.05M
1985,Horror,$21.93M
1985,Drama,$407.28M
1985,Crime,$0.0M
1985,Comedy,$431.88M
1985,Biography,$135.33M
1985,Animation,$21.29M
1985,Adventure,$440.93M
1985,Action,$426.59M
1984,Drama,$138.57M
1984,Crime,$16.27M
1984,Comedy,$370.68M
1984,Biography,$86.67M
1984,Animation,$0.5M
1984,Adventure,$75.21M
1984,Action,$1083.27M
1983,Drama,$121.66M
1983,Crime,$108.42M
1983,Comedy,$502.86M
1983,Adventure,$82.9M
1983,Action,$656.21M
1982,Horror,$28.18M
1982,Drama,$366.1M
1982,Comedy,$356.91M
1982,Biography,$52.77M
1982,Animation,$16.6M
1982,Adventure,$0.0M
1982,Action,$357.14M
1981,Horror,$21.72M
1981,Drama,$142.74M
1981,Crime,$37.81M
1981,Comedy,$354.29M
1981,Biography,$58.97M
1981,Animation,$63.46M
1981,Adventure,$83.07M
1981,Action,$490.3M
1980,Horror,$39.75M
1980,Drama,$108.53M
1980,Crime,$54.9M
1980,Comedy,$397.69M
1980,Biography,$23.38M
1980,Adventure,$138.7M
1980,Action,$455.9M
1979,Drama,$302.94M
1979,Crime,$0.0M
1979,Comedy,$184.9M
1979,Animation,$0.0M
1979,Adventure,$158.92M
1979,Action,$176.31M
1978,Drama,$67.98M
1978,Crime,$0.0M
1978,Comedy,$233.32M
1978,Biography,$35.0M
1978,Animation,$0.92M
1978,Action,$240.22M
1977,Drama,$277.1M
1977,Comedy,$67.2M
1977,Animation,$71.22M
1977,Action,$496.28M
1976,Western,$31.8M
1976,Horror,$38.07M
1976,Drama,$189.86M
1976,Crime,$49.97M
1976,Comedy,$33.83M
1976,Biography,$0.0M
1976,Action,$71.2M
1975,Horror,$0.0M
1975,Drama,$112.23M
1975,Crime,$41.51M
1975,Comedy,$196.53M
1975,Biography,$50.18M
1975,Adventure,$1.23M
1975,Action,$38.0M
1974,Horror,$4.05M
1974,Drama,$32.99M
1974,Crime,$57.37M
1974,Comedy,$205.8M
1974,Action,$186.46M
1973,Horror,$0.06M
1973,Drama,$41.16M
1973,Crime,$27.11M
1973,Comedy,$313.56M
1973,Biography,$83.07M
1973,Animation,$32.25M
1973,Adventure,$0.06M
1973,Action,$89.84M
1972,Mystery,$4.08M
1972,Drama,$81.34M
1972,Crime,$138.07M
1972,Comedy,$2.68M
1972,Adventure,$54.8M
1972,Action,$136.45M
1971,Mystery,$3.42M
1971,Drama,$132.77M
1971,Crime,$23.65M
1971,Comedy,$11.8M
1971,Animation,$18.53M
1971,Adventure,$0.02M
1971,Action,$116.8M
1970,Drama,$126.38M
1970,Crime,$0.37M
1970,Comedy,$106.51M
1970,Biography,$61.7M
1970,Animation,$37.68M
1970,Adventure,$44.44M
1970,Action,$48.55M
1969,Drama,$44.79M
1969,Crime,$0.08M
1969,Comedy,$0.72M
1969,Biography,$102.31M
1969,Adventure,$72.86M
1969,Action,$34.86M
1968,Western,$5.32M
1968,Drama,$55.7M
1968,Crime,$0.0M
1968,Comedy,$44.53M
1968,Biography,$22.28M
1968,Animation,$0.99M
1968,Adventure,$0.0M
1968,Action,$42.3M
1967,Drama,$24.41M
1967,Crime,$16.26M
1967,Comedy,$161.76M
1967,Biography,$0.0M
1967,Animation,$141.84M
1967,Action,$88.38M
1966,Drama,$13.03M
1966,Comedy,$0.0M
1966,Biography,$28.45M
1966,Adventure,$6.1M
1966,Action,$0.03M
1965,Western,$15.0M
1965,Drama,$111.77M
